                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4577,                 1.6568,                 1.3672,                0.51276,                0.16801,                0.16802,                0.10318,                 1.2507,                 6.2198,                0.93184,             0.00041527,             0.00041527,             0.00041527
                      2,                 1.3842,                 1.3758,                 1.3899,                0.39081,                0.10102,                0.04994,                0.02226,                 1.5958,                 40.047,                 1.2611,             0.00082919,             0.00082919,             0.00082919
